Entity,Code,Year,Low-carbon energy (TWh growth - equivalent)
Argentina,ARG,1969,-0.45661402
Argentina,ARG,1970,0.81195116
Argentina,ARG,1971,-0.023690224
Argentina,ARG,1972,-0.07425022
Argentina,ARG,1973,4.3688
Argentina,ARG,1974,8.848761
Argentina,ARG,1975,4.803623
Argentina,ARG,1976,-0.3854828
Argentina,ARG,1977,-0.42007446
Argentina,ARG,1978,9.426695
Argentina,ARG,1979,8.125853
Argentina,ARG,1980,12.273106
Argentina,ARG,1981,-0.0362854
Argentina,ARG,1982,6.0021095
Argentina,ARG,1983,6.9266815
Argentina,ARG,1984,7.6948166
Argentina,ARG,1985,5.500656
Argentina,ARG,1986,0.97180176
Argentina,ARG,1987,4.69088
Argentina,ARG,1988,-21.51239
Argentina,ARG,1989,-8.333958
Argentina,ARG,1990,19.830647
Argentina,ARG,1991,-4.111061
Argentina,ARG,1992,7.8271713
Argentina,ARG,1993,15.401451
Argentina,ARG,1994,11.789581
Argentina,ARG,1995,-5.5684814
Argentina,ARG,1996,-10.446976
Argentina,ARG,1997,17.422241
Argentina,ARG,1998,-5.583679
Argentina,ARG,1999,-15.819748
Argentina,ARG,2000,18.986427
Argentina,ARG,2001,25.309486
Argentina,ARG,2002,-6.0259094
Argentina,ARG,2003,-0.5237808
Argentina,ARG,2004,-9.599159
Argentina,ARG,2005,7.471466
Argentina,ARG,2006,12.797546
Argentina,ARG,2007,-21.234413
Argentina,ARG,2008,0.024642944
Argentina,ARG,2009,10.927391
Argentina,ARG,2010,-0.111701965
Argentina,ARG,2011,-6.065605
Argentina,ARG,2012,-2.9441223
Argentina,ARG,2013,10.47171
Argentina,ARG,2014,-1.3560257
Argentina,ARG,2015,4.385208
Argentina,ARG,2016,-4.7774277
Argentina,ARG,2017,2.0536728
Argentina,ARG,2018,5.3783035
Argentina,ARG,2019,2.8311157
Argentina,ARG,2020,1.7831726
Argentina,ARG,2021,1.057312
Asia,,1966,19.811432
Asia,,1967,-28.672852
Asia,,1968,47.120514
Asia,,1969,19.61612
Asia,,1970,23.462189
Asia,,1971,54.53604
Asia,,1972,22.737976
Asia,,1973,-34.5495
Asia,,1974,99.58203
Asia,,1975,61.858215
Asia,,1976,44.308716
Asia,,1977,-19.949402
Asia,,1978,127.203
Asia,,1979,100.90588
Asia,,1980,96.746216
Asia,,1981,77.318115
Asia,,1982,69.70093
Asia,,1983,111.8645
Asia,,1984,90.46948
Asia,,1985,275.8048
Asia,,1986,49.517944
Asia,,1987,157.36047
Asia,,1988,119.43933
Asia,,1989,65.27966
Asia,,1990,110.97119
Asia,,1991,71.30469
Asia,,1992,33.934326
Asia,,1993,245.37793
Asia,,1994,66.90381
Asia,,1995,241.78418
Asia,,1996,55.674316
Asia,,1997,84.1582
Asia,,1998,154.52637
Asia,,1999,-8.767334
Asia,,2000,100.559814
Asia,,2001,135.89478
Asia,,2002,84.74219
Asia,,2003,-99.75098
Asia,,2004,524.90015
Asia,,2005,146.15479
Asia,,2006,275.90845
Asia,,2007,71.23193
Asia,,2008,339.8877
Asia,,2009,34.756348
Asia,,2010,600.01025
Asia,,2011,-124.24609
Asia,,2012,170.51367
Asia,,2013,461.74268
Asia,,2014,611.4414
Asia,,2015,506.00195
Asia,,2016,587.6743
Asia,,2017,656.062
Asia,,2018,777.13965
Asia,,2019,962.75977
Asia,,2020,560.6162
Asia,,2021,1010.7676
Asia Pacific (BP),,1966,19.978271
Asia Pacific (BP),,1967,-28.420563
Asia Pacific (BP),,1968,47.09433
Asia Pacific (BP),,1969,19.74173
Asia Pacific (BP),,1970,31.412476
Asia Pacific (BP),,1971,64.28754
Asia Pacific (BP),,1972,21.2995
Asia Pacific (BP),,1973,-28.6073
Asia Pacific (BP),,1974,102.03644
Asia Pacific (BP),,1975,60.07611
Asia Pacific (BP),,1976,28.802612
Asia Pacific (BP),,1977,-27.501648
Asia Pacific (BP),,1978,123.29376
Asia Pacific (BP),,1979,105.294556
Asia Pacific (BP),,1980,94.02551
Asia Pacific (BP),,1981,74.173706
Asia Pacific (BP),,1982,57.44641
Asia Pacific (BP),,1983,123.50232
Asia Pacific (BP),,1984,89.07947
Asia Pacific (BP),,1985,163.35242
Asia Pacific (BP),,1986,73.03589
Asia Pacific (BP),,1987,112.225586
Asia Pacific (BP),,1988,64.177734
Asia Pacific (BP),,1989,126.259766
Asia Pacific (BP),,1990,81.19348
Asia Pacific (BP),,1991,88.822754
Asia Pacific (BP),,1992,-2.3925781
Asia Pacific (BP),,1993,211.40747
Asia Pacific (BP),,1994,87.07544
Asia Pacific (BP),,1995,242.87524
Asia Pacific (BP),,1996,31.203125
Asia Pacific (BP),,1997,99.218506
Asia Pacific (BP),,1998,152.84497
Asia Pacific (BP),,1999,15.571289
Asia Pacific (BP),,2000,115.41968
Asia Pacific (BP),,2001,147.40991
Asia Pacific (BP),,2002,58.318604
Asia Pacific (BP),,2003,-120.437256
Asia Pacific (BP),,2004,496.82104
Asia Pacific (BP),,2005,158.64941
Asia Pacific (BP),,2006,266.3806
Asia Pacific (BP),,2007,98.993164
Asia Pacific (BP),,2008,409.06055
Asia Pacific (BP),,2009,44.084473
Asia Pacific (BP),,2010,537.71387
Asia Pacific (BP),,2011,-99.42627
Asia Pacific (BP),,2012,145.26074
Asia Pacific (BP),,2013,478.2959
Asia Pacific (BP),,2014,679.8218
Asia Pacific (BP),,2015,426.38965
Asia Pacific (BP),,2016,584.01465
Asia Pacific (BP),,2017,634.3921
Asia Pacific (BP),,2018,828.1792
Asia Pacific (BP),,2019,826.7363
Asia Pacific (BP),,2020,624.3242
Asia Pacific (BP),,2021,1091.9141
Australia,AUS,1966,-1.0576191
Australia,AUS,1967,0.79017067
Australia,AUS,1968,0.9937763
Australia,AUS,1969,2.1661148
Australia,AUS,1970,4.331915
Australia,AUS,1971,3.959156
Australia,AUS,1972,0.18991089
Australia,AUS,1973,2.3512154
Australia,AUS,1974,4.9864273
Australia,AUS,1975,3.1895676
Australia,AUS,1976,-2.1862183
Australia,AUS,1977,-1.979065
Australia,AUS,1978,3.268921
Australia,AUS,1979,-1.2279167
Australia,AUS,1980,-2.4101944
Australia,AUS,1981,1.2426987
Australia,AUS,1982,-2.8833618
Australia,AUS,1983,-2.1835823
Australia,AUS,1984,2.995716
Australia,AUS,1985,2.4565315
Australia,AUS,1986,0.26496887
Australia,AUS,1987,-1.186367
Australia,AUS,1988,2.9641113
Australia,AUS,1989,0.013336182
Australia,AUS,1990,1.3345337
Australia,AUS,1991,2.5319672
Australia,AUS,1992,0.71326447
Australia,AUS,1993,1.3306503
Australia,AUS,1994,-0.597599
Australia,AUS,1995,-1.1073532
Australia,AUS,1996,1.3974037
Australia,AUS,1997,0.13029861
Australia,AUS,1998,-0.143013
Australia,AUS,1999,1.6860008
Australia,AUS,2000,0.055416107
Australia,AUS,2001,-1.149765
Australia,AUS,2002,1.8346024
Australia,AUS,2003,1.8881569
Australia,AUS,2004,2.0530396
Australia,AUS,2005,4.144966
Australia,AUS,2006,1.4304466
Australia,AUS,2007,-2.3705597
Australia,AUS,2008,-3.5075417
Australia,AUS,2009,2.7896118
Australia,AUS,2010,5.8951073
Australia,AUS,2011,23.586922
Australia,AUS,2012,-1.283104
Australia,AUS,2013,13.9253235
Australia,AUS,2014,-7.838379
Australia,AUS,2015,7.1486588
Australia,AUS,2016,14.841789
Australia,AUS,2017,-7.4342422
Australia,AUS,2018,26.543549
Australia,AUS,2019,14.535385
Australia,AUS,2020,22.84668
Australia,AUS,2021,33.553696
Austria,AUT,1966,3.6903229
Austria,AUT,1967,1.0852127
Austria,AUT,1968,1.440052
Austria,AUT,1969,-4.337902
Austria,AUT,1970,13.518471
Austria,AUT,1971,-13.21656
Austria,AUT,1972,1.3823929
Austria,AUT,1973,5.682148
Austria,AUT,1974,10.358334
Austria,AUT,1975,3.2024155
Austria,AUT,1976,-9.549885
Austria,AUT,1977,12.878277
Austria,AUT,1978,0.059143066
Austria,AUT,1979,9.3322525
Austria,AUT,1980,2.9957275
Austria,AUT,1981,5.1374664
Austria,AUT,1982,0.14489746
Austria,AUT,1983,-0.8575287
Austria,AUT,1984,-11.10862
Austria,AUT,1985,14.619186
Austria,AUT,1986,1.4794769
Austria,AUT,1987,12.040909
Austria,AUT,1988,0.20246887
Austria,AUT,1989,-0.47192383
Austria,AUT,1990,-10.371407
Austria,AUT,1991,0.080200195
Austria,AUT,1992,10.407219
Austria,AUT,1993,5.610077
Austria,AUT,1994,-3.462593
Austria,AUT,1995,6.1456375
Austria,AUT,1996,-9.276207
Austria,AUT,1997,6.0465775
Austria,AUT,1998,3.6255112
Austria,AUT,1999,9.715782
Austria,AUT,2000,3.2062836
Austria,AUT,2001,-4.070389
Austria,AUT,2002,-1.7985992
Austria,AUT,2003,-19.98217
Austria,AUT,2004,12.333473
Austria,AUT,2005,3.3514786
Austria,AUT,2006,1.4674911
Austria,AUT,2007,7.28788
Austria,AUT,2008,4.0083084
Austria,AUT,2009,8.02684
Austria,AUT,2010,-6.8484344
Austria,AUT,2011,-11.925606
Austria,AUT,2012,27.950539
Austria,AUT,2013,-3.7393188
Austria,AUT,2014,-0.3862152
Austria,AUT,2015,-6.458679
Austria,AUT,2016,7.4373474
Austria,AUT,2017,-1.5511627
Austria,AUT,2018,-3.1121826
Austria,AUT,2019,11.512863
Austria,AUT,2020,0.6708374
Austria,AUT,2021,1.2090149
Azerbaijan,AZE,1986,-1.5028336
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,-0.31363487
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,2.8379254
Azerbaijan,AZE,1991,0.29954338
Azerbaijan,AZE,1992,-0.035484314
Azerbaijan,AZE,1993,2.006909
Azerbaijan,AZE,1994,-1.7623658
Azerbaijan,AZE,1995,-0.810215
Azerbaijan,AZE,1996,-0.05618286
Azerbaijan,AZE,1997,0.5174732
Azerbaijan,AZE,1998,0.70672035
Azerbaijan,AZE,1999,-1.3158598
Azerbaijan,AZE,2000,0.08279562
Azerbaijan,AZE,2001,-0.7139597
Azerbaijan,AZE,2002,2.0739837
Azerbaijan,AZE,2003,1.2672606
Azerbaijan,AZE,2004,0.7756448
Azerbaijan,AZE,2005,0.67820597
Azerbaijan,AZE,2006,-1.4524279
Azerbaijan,AZE,2007,-0.4802332
Azerbaijan,AZE,2008,-0.41244602
Azerbaijan,AZE,2009,0.18050766
Azerbaijan,AZE,2010,3.1143084
Azerbaijan,AZE,2011,-2.1852584
Azerbaijan,AZE,2012,-2.3885431
Azerbaijan,AZE,2013,-0.71640587
Azerbaijan,AZE,2014,-0.46383882
Azerbaijan,AZE,2015,0.9118707
Azerbaijan,AZE,2016,0.95448446
Azerbaijan,AZE,2017,-0.6018667
Azerbaijan,AZE,2018,0.1818986
Azerbaijan,AZE,2019,-0.4274192
Azerbaijan,AZE,2020,-1.3269713
Azerbaijan,AZE,2021,0.52943635
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0.46129024
Bangladesh,BGD,1974,-0.26021492
Bangladesh,BGD,1975,0.5706988
Bangladesh,BGD,1976,0.17150557
Bangladesh,BGD,1977,-0.16854858
Bangladesh,BGD,1978,0.20403254
Bangladesh,BGD,1979,0.23951614
Bangladesh,BGD,1980,-0.011828065
Bangladesh,BGD,1981,0.12419355
Bangladesh,BGD,1982,-0.3016131
Bangladesh,BGD,1983,0.4110217
Bangladesh,BGD,1984,0.6948924
Bangladesh,BGD,1985,-0.46720433
Bangladesh,BGD,1986,-0.8545698
Bangladesh,BGD,1987,0.19811809
Bangladesh,BGD,1988,0.46720433
Bangladesh,BGD,1989,0.7244623
Bangladesh,BGD,1990,-0.10645151
Bangladesh,BGD,1991,-0.13602138
Bangladesh,BGD,1992,-0.12419367
Bangladesh,BGD,1993,-0.5559139
Bangladesh,BGD,1994,0.7067206
Bangladesh,BGD,1995,-1.4045701
Bangladesh,BGD,1996,1.0852151
Bangladesh,BGD,1997,-0.05913973
Bangladesh,BGD,1998,0.43172073
Bangladesh,BGD,1999,-0.09462404
Bangladesh,BGD,2000,-0.2483871
Bangladesh,BGD,2001,0.7024386
Bangladesh,BGD,2002,-0.7307248
Bangladesh,BGD,2003,-0.01169467
Bangladesh,BGD,2004,-0.010974646
Bangladesh,BGD,2005,-0.009410143
Bangladesh,BGD,2006,-0.003294468
Bangladesh,BGD,2007,-0.0032644272
Bangladesh,BGD,2008,0.5725465
Bangladesh,BGD,2009,-1.4683046
Bangladesh,BGD,2010,0.9148083
Bangladesh,BGD,2011,0.42338085
Bangladesh,BGD,2012,-0.18381572
Bangladesh,BGD,2013,-0.038419962
Bangladesh,BGD,2014,-0.3482299
Bangladesh,BGD,2015,0.9553635
Bangladesh,BGD,2016,0.0046663284
Bangladesh,BGD,2017,0.45691657
Bangladesh,BGD,2018,-0.39682698
Bangladesh,BGD,2019,0.015587568
Bangladesh,BGD,2020,-0.16782808
Bangladesh,BGD,2021,0.098772764
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,-0.005913891
Belarus,BLR,1992,-0.0029569454
Belarus,BLR,1993,0.005913891
Belarus,BLR,1994,0
Belarus,BLR,1995,0.0029569454
Belarus,BLR,1996,-0.011827778
Belarus,BLR,1997,0.0147847235
Belarus,BLR,1998,0.020699162
Belarus,BLR,1999,-0.026613053
Belarus,BLR,2000,0.023655836
Belarus,BLR,2001,0.008295
Belarus,BLR,2002,-0.0034874976
Belarus,BLR,2003,-0.003442511
Belarus,BLR,2004,0.016807504
Belarus,BLR,2005,0.007932775
Belarus,BLR,2006,0.002867505
Belarus,BLR,2007,0.03767944
Belarus,BLR,2008,0.07124972
Belarus,BLR,2009,0.10226916
Belarus,BLR,2010,0.075811684
Belarus,BLR,2011,0.034329474
Belarus,BLR,2012,0.086972475
Belarus,BLR,2013,0.14363974
Belarus,BLR,2014,-0.05097252
Belarus,BLR,2015,0.11847252
Belarus,BLR,2016,0.21697026
Belarus,BLR,2017,0.9686241
Belarus,BLR,2018,-0.13456893
Belarus,BLR,2019,0.4064908
Belarus,BLR,2020,1.5043995
Belarus,BLR,2021,13.802419
Belgium,BEL,1966,0.09686643
Belgium,BEL,1967,0.06932217
Belgium,BEL,1968,-0.075896025
Belgium,BEL,1969,-0.15206093
Belgium,BEL,1970,0.14662504
Belgium,BEL,1971,-0.4929211
Belgium,BEL,1972,0.16723418
Belgium,BEL,1973,0.52812135
Belgium,BEL,1974,0.38279557
Belgium,BEL,1975,18.581394
Belgium,BEL,1976,8.925785
Belgium,BEL,1977,6.346363
Belgium,BEL,1978,1.6672783
Belgium,BEL,1979,-2.9301987
Belgium,BEL,1980,3.32267
Belgium,BEL,1981,1.155468
Belgium,BEL,1982,7.035206
Belgium,BEL,1983,23.88655
Belgium,BEL,1984,10.370789
Belgium,BEL,1985,19.362999
Belgium,BEL,1986,13.976486
Belgium,BEL,1987,7.646408
Belgium,BEL,1988,3.140808
Belgium,BEL,1989,-5.476265
Belgium,BEL,1990,4.4456406
Belgium,BEL,1991,0.34223938
Belgium,BEL,1992,1.9203033
Belgium,BEL,1993,-4.6689987
Belgium,BEL,1994,-3.422287
Belgium,BEL,1995,2.2960052
Belgium,BEL,1996,5.300255
Belgium,BEL,1997,11.625023
Belgium,BEL,1998,-3.001648
Belgium,BEL,1999,8.393906
Belgium,BEL,2000,-1.8496704
Belgium,BEL,2001,-5.8949127
Belgium,BEL,2002,2.1974487
Belgium,BEL,2003,-0.60891724
Belgium,BEL,2004,-0.096466064
Belgium,BEL,2005,1.866806
Belgium,BEL,2006,-0.79826355
Belgium,BEL,2007,5.130295
Belgium,BEL,2008,-5.1008453
Belgium,BEL,2009,8.279343
Belgium,BEL,2010,6.821274
Belgium,BEL,2011,5.259506
Belgium,BEL,2012,-15.84111
Belgium,BEL,2013,8.770081
Belgium,BEL,2014,-22.185524
Belgium,BEL,2015,-15.518448
Belgium,BEL,2016,45.649467
Belgium,BEL,2017,0.59524536
Belgium,BEL,2018,-31.957222
Belgium,BEL,2019,43.29615
Belgium,BEL,2020,-10.967346
Belgium,BEL,2021,38.936172
Brazil,BRA,1966,7.0701523
Brazil,BRA,1967,3.7938156
Brazil,BRA,1968,4.0244675
Brazil,BRA,1969,6.33387
Brazil,BRA,1970,23.806786
Brazil,BRA,1971,10.861458
Brazil,BRA,1972,23.240417
Brazil,BRA,1973,20.917007
Brazil,BRA,1974,22.402695
Brazil,BRA,1975,19.627762
Brazil,BRA,1976,31.474014
Brazil,BRA,1977,34.952423
Brazil,BRA,1978,33.469208
Brazil,BRA,1979,46.847412
Brazil,BRA,1980,39.20407
Brazil,BRA,1981,4.5457153
Brazil,BRA,1982,38.733154
Brazil,BRA,1983,41.813263
Brazil,BRA,1984,57.860016
Brazil,BRA,1985,49.669006
Brazil,BRA,1986,18.857605
Brazil,BRA,1987,14.139282
Brazil,BRA,1988,42.071228
Brazil,BRA,1989,25.836975
Brazil,BRA,1990,0.994751
Brazil,BRA,1991,33.83374
Brazil,BRA,1992,18.785156
Brazil,BRA,1993,34.072937
Brazil,BRA,1994,27.609497
Brazil,BRA,1995,43.396057
Brazil,BRA,1996,41.806763
Brazil,BRA,1997,40.34015
Brazil,BRA,1998,36.152283
Brazil,BRA,1999,9.499939
Brazil,BRA,2000,26.548828
Brazil,BRA,2001,-93.33295
Brazil,BRA,2002,58.46338
Brazil,BRA,2003,51.621338
Brazil,BRA,2004,42.375977
Brazil,BRA,2005,46.44568
Brazil,BRA,2006,35.82007
Brazil,BRA,2007,100.97986
Brazil,BRA,2008,26.329468
Brazil,BRA,2009,73.622314
Brazil,BRA,2010,73.12085
Brazil,BRA,2011,54.818237
Brazil,BRA,2012,-33.3844
Brazil,BRA,2013,-30.265503
Brazil,BRA,2014,-2.8424072
Brazil,BRA,2015,22.515991
Brazil,BRA,2016,70.44885
Brazil,BRA,2017,6.6622314
Brazil,BRA,2018,101.10315
Brazil,BRA,2019,76.06726
Brazil,BRA,2020,-6.0059814
Brazil,BRA,2021,-34.40442
Bulgaria,BGR,1966,0.029569626
Bulgaria,BGR,1967,0.035484314
Bulgaria,BGR,1968,-2.1201618
Bulgaria,BGR,1969,1.5790327
Bulgaria,BGR,1970,0.9255376
Bulgaria,BGR,1971,0.053225517
Bulgaria,BGR,1972,-0.2217741
Bulgaria,BGR,1973,1.4045696
Bulgaria,BGR,1974,1.1842895
Bulgaria,BGR,1975,5.716757
Bulgaria,BGR,1976,8.3907995
Bulgaria,BGR,1977,4.2398434
Bulgaria,BGR,1978,-1.7595577
Bulgaria,BGR,1979,1.9548378
Bulgaria,BGR,1980,1.1461487
Bulgaria,BGR,1981,8.101105
Bulgaria,BGR,1982,2.9370651
Bulgaria,BGR,1983,5.3565407
Bulgaria,BGR,1984,0.9082489
Bulgaria,BGR,1985,-1.9013481
Bulgaria,BGR,1986,-2.747429
Bulgaria,BGR,1987,1.6624565
Bulgaria,BGR,1988,10.37249
Bulgaria,BGR,1989,-3.873211
Bulgaria,BGR,1990,-2.1231194
Bulgaria,BGR,1991,-2.5375748
Bulgaria,BGR,1992,-5.7485657
Bulgaria,BGR,1993,6.5118294
Bulgaria,BGR,1994,2.4630852
Bulgaria,BGR,1995,7.9666634
Bulgaria,BGR,1996,4.118576
Bulgaria,BGR,1997,-1.4271202
Bulgaria,BGR,1998,-1.4033089
Bulgaria,BGR,1999,-4.095909
Bulgaria,BGR,2000,6.471321
Bulgaria,BGR,2001,0.7402153
Bulgaria,BGR,2002,2.819168
Bulgaria,BGR,2003,-6.169956
Bulgaria,BGR,2004,-1.2446404
Bulgaria,BGR,2005,8.056988
Bulgaria,BGR,2006,1.6540222
Bulgaria,BGR,2007,-17.348759
Bulgaria,BGR,2008,2.8487358
Bulgaria,BGR,2009,0.43052292
Bulgaria,BGR,2010,5.423668
Bulgaria,BGR,2011,-2.628437
Bulgaria,BGR,2012,2.10281
Bulgaria,BGR,2013,-0.17638397
Bulgaria,BGR,2014,5.369213
Bulgaria,BGR,2015,2.1225739
Bulgaria,BGR,2016,-3.751114
Bulgaria,BGR,2017,-3.5065727
Bulgaria,BGR,2018,10.390583
Bulgaria,BGR,2019,-3.836773
Bulgaria,BGR,2020,-0.15183258
Bulgaria,BGR,2021,3.7538033
CIS (BP),,1966,31.297012
CIS (BP),,1967,-9.076904
CIS (BP),,1968,48.237152
CIS (BP),,1969,34.36084
CIS (BP),,1970,29.336853
CIS (BP),,1971,7.925995
CIS (BP),,1972,3.1529846
CIS (BP),,1973,11.064941
CIS (BP),,1974,48.928345
CIS (BP),,1975,2.4333496
CIS (BP),,1976,55.886322
CIS (BP),,1977,69.8938
CIS (BP),,1978,71.14819
CIS (BP),,1979,27.16858
CIS (BP),,1980,75.82483
CIS (BP),,1981,45.654358
CIS (BP),,1982,1.6749878
CIS (BP),,1983,48.424072
CIS (BP),,1984,158.849
CIS (BP),,1985,-137.57349
CIS (BP),,1986,12.898376
CIS (BP),,1987,65.00702
CIS (BP),,1988,53.542053
CIS (BP),,1989,-22.45819
CIS (BP),,1990,-19.102478
CIS (BP),,1991,6.8859863
CIS (BP),,1992,12.196411
CIS (BP),,1993,18.144592
CIS (BP),,1994,-49.72058
CIS (BP),,1995,-12.924011
CIS (BP),,1996,-30.882385
CIS (BP),,1997,-5.775757
CIS (BP),,1998,-12.779419
CIS (BP),,1999,66.92291
CIS (BP),,2000,40.51416
CIS (BP),,2001,37.21405
CIS (BP),,2002,-21.63855
CIS (BP),,2003,12.874939
CIS (BP),,2004,36.549866
CIS (BP),,2005,1.2547607
CIS (BP),,2006,8.078369
CIS (BP),,2007,18.15503
CIS (BP),,2008,-54.153687
CIS (BP),,2009,25.0802
CIS (BP),,2010,7.9328613
CIS (BP),,2011,-10.898804
CIS (BP),,2012,5.7817383
CIS (BP),,2013,25.398193
CIS (BP),,2014,-6.2335205
CIS (BP),,2015,18.033203
CIS (BP),,2016,51.545044
CIS (BP),,2017,23.7417
CIS (BP),,2018,7.2508545
CIS (BP),,2019,21.95642
CIS (BP),,2020,62.296143
CIS (BP),,2021,39.716675
Canada,CAN,1966,38.30551
Canada,CAN,1967,8.592346
Canada,CAN,1968,8.900757
